Date of Sighting,Latitude of Sighting,Longitude of Sighting,Nearest Approximate City,US State,Notes about the sighting,Time of Day,Tag of Apparition,Image Link
3/25/2023,39.916864,-83.168378,Columbus,Ohio,Figure disappeared upon approach.,Afternoon,Orbs,https://cdn.midjourney.com/9ebab934-da2d-4041-90c2-dc375e3728da/0_2.png
6/7/2024,41.436969,-81.871695,Cleveland,Ohio,Scent of old perfume noticed with no source.,Morning,Shadow Figure,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_1.png
5/14/2021,41.490709,-81.418404,Cleveland,Ohio,Witness reported cold spots and flickering lights.,Afternoon,White Lady,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_0.png
1/25/2021,41.662776,-81.765155,Cleveland,Ohio,Phantom footsteps heard in empty hallway.,Morning,Poltergeist,https://cdn.midjourney.com/9ebab934-da2d-4041-90c2-dc375e3728da/0_2.png
1/21/2024,41.520531,-81.770268,Cleveland,Ohio,Local dog barking frantically before sighting.,Midnight,White Lady,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_2.png
4/22/2024,39.793199,-82.92694,Columbus,Ohio,Old radio emitted static and a faint melody.,Night,Shadow Figure,https://cdn.midjourney.com/90895f4f-c3a6-4faf-b2ee-b7a9ec71d9cd/0_1.png
9/27/2021,39.70892,-82.551001,Columbus,Ohio,Old radio emitted static and a faint melody.,Midnight,Shadow Figure,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_1.png
9/1/2024,41.412376,-81.774854,Cleveland,Ohio,Witness captured blurry image on phone.,Evening,White Lady,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_3.png
2/7/2022,39.923682,-83.011902,Columbus,Ohio,Local dog barking frantically before sighting.,Midnight,Headless Spirit,
7/9/2024,41.213284,-81.462783,Cleveland,Ohio,Glowing orb photographed in backyard.,Evening,Headless Spirit,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_2.png
4/19/2021,41.389,-81.574667,Cleveland,Ohio,Glowing orb photographed in backyard.,Night,Shadow Figure,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_0.png
3/1/2024,41.486822,-81.538288,Cleveland,Ohio,Local dog barking frantically before sighting.,Afternoon,Phantom Sounds,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_2.png
7/6/2025,40.017855,-83.35104,Columbus,Ohio,Disembodied voice whispered a name.,Night,Full-Body Apparition,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_3.png
11/11/2021,39.88748,-82.785847,Columbus,Ohio,Figure disappeared upon approach.,Dawn,Phantom Sounds,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_0.png
11/7/2022,40.093638,-83.137673,Columbus,Ohio,Witness reported cold spots and flickering lights.,Morning,Full-Body Apparition,
1/31/2021,40.06226,-83.207438,Columbus,Ohio,Witness captured blurry image on phone.,Midnight,White Lady,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_3.png
1/29/2024,39.897253,-82.639905,Columbus,Ohio,Electronic devices malfunctioned during sighting.,Afternoon,Poltergeist,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_2.png
4/14/2022,41.620798,-81.37016,Cleveland,Ohio,Scent of old perfume noticed with no source.,Afternoon,Headless Spirit,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_3.png
8/21/2021,41.480602,-81.720793,Cleveland,Ohio,Disembodied voice whispered a name.,Morning,Headless Spirit,
2/11/2022,41.190948,-81.77433,Cleveland,Ohio,Witness captured blurry image on phone.,Dawn,White Lady,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_3.png
9/7/2024,39.700526,-82.979991,Columbus,Ohio,Witness captured blurry image on phone.,Dawn,White Lady,
11/17/2021,41.539861,-81.676558,Cleveland,Ohio,Old radio emitted static and a faint melody.,Morning,Poltergeist,
11/25/2023,41.363146,-81.954597,Cleveland,Ohio,Temperature dropped suddenly by 10°F.,Midnight,White Lady,
9/27/2022,39.917496,-82.918947,Columbus,Ohio,Disembodied voice whispered a name.,Night,Phantom Sounds,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_1.png
5/27/2025,41.518794,-81.781241,Cleveland,Ohio,Phantom footsteps heard in empty hallway.,Evening,Full-Body Apparition,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_0.png
9/20/2024,41.954191,-81.693997,Cleveland,Ohio,Old radio emitted static and a faint melody.,Night,Full-Body Apparition,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_0.png
12/5/2020,39.931999,-82.759756,Columbus,Ohio,Curtains moved though windows were shut.,Midnight,Headless Spirit,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_2.png
12/10/2023,41.53686,-81.592649,Cleveland,Ohio,Witness captured blurry image on phone.,Evening,Orbs,
12/25/2022,41.355131,-81.840241,Cleveland,Ohio,Glowing orb photographed in backyard.,Evening,Poltergeist,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_2.png
4/2/2023,40.15081,-83.198633,Columbus,Ohio,Electronic devices malfunctioned during sighting.,Night,White Lady,
9/20/2025,39.638602,-83.060917,Columbus,Ohio,Witness reported cold spots and flickering lights.,Midnight,Full-Body Apparition,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_1.png
6/1/2023,39.520339,-82.741809,Columbus,Ohio,Flickering streetlamp coincided with sighting.,Morning,Orbs,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_1.png
3/29/2023,41.461965,-81.60283,Cleveland,Ohio,Old radio emitted static and a faint melody.,Night,Full-Body Apparition,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_3.png
10/8/2022,41.281262,-81.713082,Cleveland,Ohio,Apparition matched description of local legend.,Midnight,Full-Body Apparition,
3/23/2025,41.566587,-81.692588,Cleveland,Ohio,Disembodied voice whispered a name.,Dawn,Phantom Sounds,
4/4/2025,40.014659,-82.639839,Columbus,Ohio,Electronic devices malfunctioned during sighting.,Dawn,Full-Body Apparition,
11/13/2024,41.486357,-81.826443,Cleveland,Ohio,Disembodied voice whispered a name.,Night,Phantom Sounds,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_2.png
9/5/2024,39.871083,-82.924355,Columbus,Ohio,Old radio emitted static and a faint melody.,Evening,Full-Body Apparition,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_3.png
1/12/2021,41.751011,-81.446569,Cleveland,Ohio,Electronic devices malfunctioned during sighting.,Night,White Lady,
9/26/2024,39.869332,-82.935278,Columbus,Ohio,Phantom footsteps heard in empty hallway.,Morning,Poltergeist,
11/9/2021,39.950115,-83.041599,Columbus,Ohio,Apparition seen floating near old church grounds.,Night,Phantom Sounds,
8/13/2022,39.989698,-82.97085,Columbus,Ohio,Flickering streetlamp coincided with sighting.,Night,Headless Spirit,
5/28/2021,40.447925,-83.132214,Columbus,Ohio,Temperature dropped suddenly by 10°F.,Afternoon,Orbs,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_2.png
7/24/2021,41.570922,-81.673162,Cleveland,Ohio,Apparition seen floating near old church grounds.,Night,White Lady,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_3.png
10/20/2024,41.462309,-81.905172,Cleveland,Ohio,Temperature dropped suddenly by 10°F.,Morning,Poltergeist,
4/30/2025,41.889428,-81.870261,Cleveland,Ohio,Local dog barking frantically before sighting.,Night,Headless Spirit,
10/17/2021,41.668967,-81.655611,Cleveland,Ohio,Figure disappeared upon approach.,Midnight,Full-Body Apparition,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_2.png
9/14/2022,41.943806,-81.405233,Cleveland,Ohio,Apparition matched description of local legend.,Evening,Orbs,
2/22/2022,39.922048,-83.0616,Columbus,Ohio,Temperature dropped suddenly by 10°F.,Midnight,Shadow Figure,
2/14/2023,41.905827,-81.023776,Cleveland,Ohio,Local dog barking frantically before sighting.,Dawn,Phantom Sounds,
11/15/2020,41.560234,-81.93794,Cleveland,Ohio,Apparition seen floating near old church grounds.,Morning,Phantom Sounds,
10/20/2022,41.766109,-81.643584,Cleveland,Ohio,Disembodied voice whispered a name.,Morning,Phantom Sounds,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_1.png
10/14/2023,40.091472,-83.137911,Columbus,Ohio,Electronic devices malfunctioned during sighting.,Dawn,Phantom Sounds,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_0.png
6/8/2022,40.04706,-82.962509,Columbus,Ohio,Apparition seen floating near old church grounds.,Night,Phantom Sounds,https://cdn.midjourney.com/90895f4f-c3a6-4faf-b2ee-b7a9ec71d9cd/0_1.png
1/31/2023,39.663671,-82.813318,Columbus,Ohio,Temperature dropped suddenly by 10°F.,Morning,Headless Spirit,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_2.png
6/13/2022,41.5979,-81.613689,Cleveland,Ohio,Witness reported cold spots and flickering lights.,Evening,Poltergeist,
10/8/2020,39.903319,-82.995237,Columbus,Ohio,Witness captured blurry image on phone.,Dawn,Headless Spirit,
5/26/2024,39.849568,-83.168944,Columbus,Ohio,Local dog barking frantically before sighting.,Evening,Phantom Sounds,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_0.png
4/30/2024,41.120324,-81.56635,Cleveland,Ohio,Local dog barking frantically before sighting.,Dawn,Headless Spirit,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_3.png
9/16/2021,41.495429,-81.54517,Cleveland,Ohio,Local dog barking frantically before sighting.,Dawn,White Lady,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_0.png
7/13/2025,40.073502,-83.093957,Columbus,Ohio,Glowing orb photographed in backyard.,Morning,White Lady,
3/16/2024,41.639785,-81.643927,Cleveland,Ohio,Witness captured blurry image on phone.,Morning,Orbs,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_3.png
5/23/2023,39.819902,-82.839175,Columbus,Ohio,Temperature dropped suddenly by 10°F.,Afternoon,Orbs,
1/9/2025,39.925699,-82.421485,Columbus,Ohio,Phantom footsteps heard in empty hallway.,Dawn,White Lady,
8/13/2023,41.371359,-81.814507,Cleveland,Ohio,Electronic devices malfunctioned during sighting.,Dawn,White Lady,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_0.png
10/27/2021,41.535038,-81.680407,Cleveland,Ohio,Flickering streetlamp coincided with sighting.,Afternoon,Poltergeist,
10/16/2021,41.529605,-81.639402,Cleveland,Ohio,Witness captured blurry image on phone.,Afternoon,Full-Body Apparition,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_3.png
10/9/2021,39.81599,-82.728185,Columbus,Ohio,Temperature dropped suddenly by 10°F.,Dawn,Poltergeist,
10/14/2022,41.576339,-81.657947,Cleveland,Ohio,Glowing orb photographed in backyard.,Evening,Full-Body Apparition,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_3.png
2/3/2021,41.220035,-81.641276,Cleveland,Ohio,Disembodied voice whispered a name.,Dawn,Phantom Sounds,
3/29/2024,40.957303,-82.170672,Cleveland,Ohio,Phantom footsteps heard in empty hallway.,Evening,Poltergeist,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_0.png
7/22/2024,40.129344,-83.079324,Columbus,Ohio,Old radio emitted static and a faint melody.,Dawn,Full-Body Apparition,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_1.png
8/16/2025,41.571794,-82.022291,Cleveland,Ohio,Glowing orb photographed in backyard.,Morning,Orbs,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_1.png
9/22/2023,40.015312,-82.847544,Columbus,Ohio,Witness captured blurry image on phone.,Evening,Headless Spirit,https://cdn.midjourney.com/90895f4f-c3a6-4faf-b2ee-b7a9ec71d9cd/0_0.png
2/4/2021,39.931337,-82.807942,Columbus,Ohio,Apparition seen floating near old church grounds.,Midnight,Headless Spirit,
11/13/2021,41.275485,-81.393645,Cleveland,Ohio,Curtains moved though windows were shut.,Morning,White Lady,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_2.png
6/11/2025,41.624702,-81.909381,Cleveland,Ohio,Disembodied voice whispered a name.,Midnight,Headless Spirit,
4/2/2022,40.176869,-82.918145,Columbus,Ohio,Apparition matched description of local legend.,Afternoon,Phantom Sounds,
7/11/2024,41.736935,-81.646278,Cleveland,Ohio,Apparition seen floating near old church grounds.,Dawn,Phantom Sounds,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_2.png
10/29/2021,40.038544,-83.024835,Columbus,Ohio,Scent of old perfume noticed with no source.,Dawn,Headless Spirit,
4/13/2021,40.051443,-83.023047,Columbus,Ohio,Apparition seen floating near old church grounds.,Afternoon,Full-Body Apparition,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_3.png
2/13/2024,41.596173,-81.680258,Cleveland,Ohio,Electronic devices malfunctioned during sighting.,Evening,Orbs,
5/30/2025,39.96706,-83.013602,Columbus,Ohio,Glowing orb photographed in backyard.,Midnight,Phantom Sounds,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_1.png
1/25/2024,41.312807,-81.677896,Cleveland,Ohio,Temperature dropped suddenly by 10°F.,Dawn,White Lady,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_3.png
12/3/2021,41.529613,-81.570887,Cleveland,Ohio,Disembodied voice whispered a name.,Dawn,Full-Body Apparition,
9/3/2022,39.94114,-82.973936,Columbus,Ohio,Apparition seen floating near old church grounds.,Morning,Headless Spirit,
11/19/2020,40.032115,-82.911197,Columbus,Ohio,Scent of old perfume noticed with no source.,Evening,Orbs,
12/1/2020,41.052891,-81.924255,Cleveland,Ohio,Old radio emitted static and a faint melody.,Night,Shadow Figure,
4/10/2021,41.389984,-81.971453,Cleveland,Ohio,Glowing orb photographed in backyard.,Night,Orbs,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_0.png
4/6/2025,39.988245,-82.966516,Columbus,Ohio,Disembodied voice whispered a name.,Afternoon,Phantom Sounds,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_3.png
9/9/2022,40.11366,-83.117504,Columbus,Ohio,Apparition seen floating near old church grounds.,Afternoon,Poltergeist,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_0.png
5/4/2021,41.650929,-81.494133,Cleveland,Ohio,Old radio emitted static and a faint melody.,Night,Shadow Figure,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_1.png
3/11/2023,39.946219,-83.073214,Columbus,Ohio,Old radio emitted static and a faint melody.,Morning,Headless Spirit,
10/4/2024,41.348381,-81.457502,Cleveland,Ohio,Glowing orb photographed in backyard.,Evening,White Lady,
1/5/2021,40.01447,-83.105255,Columbus,Ohio,Witness reported cold spots and flickering lights.,Evening,Full-Body Apparition,
3/6/2023,41.376439,-82.022225,Cleveland,Ohio,Witness reported cold spots and flickering lights.,Dawn,Orbs,
11/29/2023,41.58305,-81.717085,Cleveland,Ohio,Scent of old perfume noticed with no source.,Evening,Headless Spirit,
8/31/2021,39.949554,-83.516114,Columbus,Ohio,Disembodied voice whispered a name.,Morning,Orbs,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_0.png
2/7/2024,41.536537,-81.56848,Cleveland,Ohio,Figure disappeared upon approach.,Morning,Full-Body Apparition,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_3.png
4/9/2023,41.150434,-81.725844,Cleveland,Ohio,Witness reported cold spots and flickering lights.,Midnight,Phantom Sounds,
12/4/2020,41.547601,-81.963843,Cleveland,Ohio,Curtains moved though windows were shut.,Afternoon,Phantom Sounds,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_1.png
9/7/2022,40.007608,-82.688969,Columbus,Ohio,Flickering streetlamp coincided with sighting.,Morning,Headless Spirit,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_3.png
7/21/2024,39.882011,-82.98467,Columbus,Ohio,Disembodied voice whispered a name.,Dawn,White Lady,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_2.png
10/29/2021,41.285816,-81.036899,Cleveland,Ohio,Old radio emitted static and a faint melody.,Night,Shadow Figure,https://cdn.midjourney.com/90895f4f-c3a6-4faf-b2ee-b7a9ec71d9cd/0_1.png
6/24/2025,41.44055,-81.717894,Cleveland,Ohio,Temperature dropped suddenly by 10°F.,Night,Shadow Figure,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_0.png
8/20/2023,39.950341,-83.060531,Columbus,Ohio,Flickering streetlamp coincided with sighting.,Evening,Phantom Sounds,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_2.png
11/11/2020,41.629268,-81.760679,Cleveland,Ohio,Scent of old perfume noticed with no source.,Night,Orbs,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_1.png
2/18/2023,41.387825,-81.745309,Cleveland,Ohio,Figure disappeared upon approach.,Midnight,White Lady,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_2.png
6/6/2022,41.546361,-81.807429,Cleveland,Ohio,Temperature dropped suddenly by 10°F.,Midnight,Orbs,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_0.png
12/17/2020,39.902563,-83.036187,Columbus,Ohio,Flickering streetlamp coincided with sighting.,Evening,Full-Body Apparition,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_2.png
7/4/2021,41.537382,-81.743326,Cleveland,Ohio,Old radio emitted static and a faint melody.,Morning,Poltergeist,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_0.png
10/7/2024,39.88258,-82.995518,Columbus,Ohio,Phantom footsteps heard in empty hallway.,Morning,Headless Spirit,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_3.png
6/9/2025,41.951273,-81.338442,Cleveland,Ohio,Electronic devices malfunctioned during sighting.,Morning,White Lady,
12/31/2023,39.963011,-82.803886,Columbus,Ohio,Old radio emitted static and a faint melody.,Dawn,White Lady,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_1.png
2/22/2021,41.534194,-81.396351,Cleveland,Ohio,Glowing orb photographed in backyard.,Morning,White Lady,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_0.png
4/13/2023,41.411045,-81.510501,Cleveland,Ohio,Flickering streetlamp coincided with sighting.,Dawn,White Lady,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_1.png
12/25/2021,39.627641,-82.571197,Columbus,Ohio,Flickering streetlamp coincided with sighting.,Night,Orbs,
10/20/2020,39.986282,-82.889474,Columbus,Ohio,Glowing orb photographed in backyard.,Dawn,Poltergeist,
9/25/2021,41.523114,-81.6458,Cleveland,Ohio,Temperature dropped suddenly by 10°F.,Dawn,Poltergeist,https://cdn.midjourney.com/9ebab934-da2d-4041-90c2-dc375e3728da/0_2.png
2/17/2022,41.663423,-81.583825,Cleveland,Ohio,Temperature dropped suddenly by 10°F.,Morning,Poltergeist,
11/9/2020,39.752424,-82.961733,Columbus,Ohio,Temperature dropped suddenly by 10°F.,Midnight,White Lady,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_2.png
4/25/2022,41.594541,-81.698277,Cleveland,Ohio,Phantom footsteps heard in empty hallway.,Afternoon,Headless Spirit,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_3.png
3/1/2021,40.008602,-82.937907,Columbus,Ohio,Glowing orb photographed in backyard.,Afternoon,Full-Body Apparition,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_1.png
6/12/2022,42.155556,-82.249084,Cleveland,Ohio,Old radio emitted static and a faint melody.,Afternoon,Full-Body Apparition,
8/11/2025,41.512351,-81.620693,Cleveland,Ohio,Glowing orb photographed in backyard.,Night,Orbs,
3/3/2021,40.140177,-83.185433,Columbus,Ohio,Curtains moved though windows were shut.,Morning,Headless Spirit,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_1.png
12/4/2020,41.56716,-81.666844,Cleveland,Ohio,Local dog barking frantically before sighting.,Morning,Full-Body Apparition,https://cdn.midjourney.com/9ebab934-da2d-4041-90c2-dc375e3728da/0_2.png
11/14/2021,41.562681,-82.023156,Cleveland,Ohio,Figure disappeared upon approach.,Night,White Lady,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_2.png
6/26/2023,39.947405,-83.083813,Columbus,Ohio,Figure disappeared upon approach.,Afternoon,Poltergeist,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_2.png
4/21/2023,40.036229,-83.185122,Columbus,Ohio,Apparition seen floating near old church grounds.,Afternoon,Shadow Figure,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_3.png
11/3/2022,39.747153,-83.413401,Columbus,Ohio,Flickering streetlamp coincided with sighting.,Midnight,Shadow Figure,
2/6/2025,39.892794,-82.878972,Columbus,Ohio,Curtains moved though windows were shut.,Afternoon,Orbs,
1/20/2025,41.032939,-81.846272,Cleveland,Ohio,Old radio emitted static and a faint melody.,Night,Full-Body Apparition,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_1.png
8/22/2021,41.795946,-81.769338,Cleveland,Ohio,Disembodied voice whispered a name.,Dawn,Full-Body Apparition,
10/31/2022,39.952385,-82.92494,Columbus,Ohio,Local dog barking frantically before sighting.,Evening,Headless Spirit,
8/11/2023,40.125592,-83.075187,Columbus,Ohio,Glowing orb photographed in backyard.,Afternoon,Full-Body Apparition,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_0.png
7/15/2023,41.187839,-81.997881,Cleveland,Ohio,Electronic devices malfunctioned during sighting.,Night,Full-Body Apparition,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_2.png
9/16/2025,40.062171,-82.940076,Columbus,Ohio,Scent of old perfume noticed with no source.,Afternoon,Headless Spirit,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_3.png
2/17/2025,41.532227,-81.68143,Cleveland,Ohio,Old radio emitted static and a faint melody.,Night,White Lady,
5/3/2025,41.587052,-81.749274,Cleveland,Ohio,Local dog barking frantically before sighting.,Evening,Shadow Figure,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_3.png
1/8/2022,40.882186,-81.667964,Cleveland,Ohio,Local dog barking frantically before sighting.,Afternoon,Phantom Sounds,https://cdn.midjourney.com/6c1d34b3-77c9-4475-a67e-5afffc90b88b/0_1.png
11/19/2021,41.162365,-81.265365,Cleveland,Ohio,Temperature dropped suddenly by 10°F.,Afternoon,Poltergeist,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_2.png
5/14/2022,39.7981,-82.418251,Columbus,Ohio,Curtains moved though windows were shut.,Dawn,Orbs,
2/17/2025,41.693165,-80.962512,Cleveland,Ohio,Scent of old perfume noticed with no source.,Night,Full-Body Apparition,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_2.png
1/22/2021,39.91639,-82.586024,Columbus,Ohio,Scent of old perfume noticed with no source.,Afternoon,Poltergeist,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_1.png
8/21/2025,40.008348,-82.92035,Columbus,Ohio,Apparition seen floating near old church grounds.,Evening,Headless Spirit,
8/6/2023,39.964519,-82.987383,Columbus,Ohio,Scent of old perfume noticed with no source.,Night,Phantom Sounds,
8/22/2022,39.686081,-82.642845,Columbus,Ohio,Flickering streetlamp coincided with sighting.,Dawn,White Lady,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_2.png
9/21/2021,40.176593,-83.042926,Columbus,Ohio,Local dog barking frantically before sighting.,Afternoon,Full-Body Apparition,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_0.png
10/21/2022,41.644893,-81.730703,Cleveland,Ohio,Apparition seen floating near old church grounds.,Afternoon,Orbs,
3/1/2022,41.642469,-81.399832,Cleveland,Ohio,Witness reported cold spots and flickering lights.,Evening,Phantom Sounds,
9/4/2025,39.762854,-83.218178,Columbus,Ohio,Curtains moved though windows were shut.,Night,Phantom Sounds,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_1.png
11/24/2021,41.657127,-81.439067,Cleveland,Ohio,Witness reported cold spots and flickering lights.,Dawn,Phantom Sounds,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_3.png
1/10/2023,40.25777,-83.230515,Columbus,Ohio,Witness reported cold spots and flickering lights.,Evening,Poltergeist,
7/2/2024,39.891546,-83.018569,Columbus,Ohio,Glowing orb photographed in backyard.,Afternoon,Headless Spirit,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_1.png
11/22/2023,39.891338,-82.945521,Columbus,Ohio,Curtains moved though windows were shut.,Afternoon,Headless Spirit,
11/12/2021,39.592086,-82.825128,Columbus,Ohio,Local dog barking frantically before sighting.,Night,Headless Spirit,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_1.png
8/25/2022,41.517764,-81.477837,Cleveland,Ohio,Witness reported cold spots and flickering lights.,Morning,Headless Spirit,
4/13/2022,41.555337,-81.57018,Cleveland,Ohio,Glowing orb photographed in backyard.,Morning,Shadow Figure,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_2.png
9/13/2023,39.982446,-83.037723,Columbus,Ohio,Scent of old perfume noticed with no source.,Evening,Orbs,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_1.png
6/15/2022,40.037382,-82.527819,Columbus,Ohio,Phantom footsteps heard in empty hallway.,Morning,Phantom Sounds,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_3.png
11/15/2022,41.540908,-81.645372,Cleveland,Ohio,Curtains moved though windows were shut.,Morning,Shadow Figure,
11/26/2021,40.010041,-82.978018,Columbus,Ohio,Curtains moved though windows were shut.,Night,Shadow Figure,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_0.png
3/10/2025,40.188426,-82.800132,Columbus,Ohio,Witness reported cold spots and flickering lights.,Afternoon,Full-Body Apparition,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_3.png
